#,HAuCl4,PVP,Glucose,NaOH,Time,A450,R,FWHM,WL,std
45,7.5,10.47,17.23,10.34,4.52,0.04448,7.63,122,515.5,9.1e-04 1.4e-01 2.0e+00 5.0e-01
46,14.17,16.01,10.57,12.85,9.31,0.08532,7.31,121,515.5,0.00138 0.02    1.      0.5    
47,9.47,11.58,8.45,11.64,9.52,0.05482,7.69,119,515.5,4.e-05 4.e-02 1.e+00 5.e-01
48,15.22,18.6,4.77,13.88,6.91,0.06269,4.92,146,516,7.1e-04 9.5e-02 4.0e+00 1.0e+00
49,5.34,19.25,16.98,16.31,7.83,0.02639,7.9,118,516.5,2.50e-04 7.45e-01 0.00e+00 5.00e-01
50,6.91,9.76,8.66,5.92,9.66,0.02066,5.6,139,517,6.125e-03 1.825e+00 1.900e+01 1.000e+00
51,6.32,13.72,17.98,9.59,4.32,0.02992,6.92,125,516,0.001835 0.085    1.       0.      
52,14.71,14.2,15.68,14.82,8.62,0.10308,7.62,117,516.5,7.7e-04 6.5e-02 1.0e+00 5.0e-01
53,19.51,6.88,11.81,9.09,3.1,0.03856,2.63,222,516,0. 0. 0. 0.
54,10.51,10.62,5.66,17.07,3.19,0.03816,4.34,154,515,0. 0. 0. 0.
55,10.37,17.67,16.27,7.39,9.83,0.05707,7.72,120,515.5,3.0e-04 1.5e-02 0.0e+00 5.0e-01
56,6.76,9.09,7.16,7.27,5.4,0.02017,4.12,153,516.5,1.815e-03 5.500e-01 1.300e+01 5.000e-01
57,15.83,11.8,14.51,10.15,3.58,0.0521,3.4,184,515.5,8.34e-03 4.30e-01 2.00e+01 1.50e+00
58,8.64,17.05,6.25,14.2,6.51,0.03825,6.66,129,515.5,1.85e-04 4.65e-01 3.00e+00 5.00e-01
59,19.3,6.19,11.62,16.57,2.52,0.07407,4.19,156,517,0.0021 0.07   2.     0.    
60,5.89,15.04,18.24,11.33,8.11,0.033,7.9,120,516,0.002495 0.055    2.       1.      
61,19.36,2,9.78,19.94,3.09,0.16836,6.42,118,520.5,0.00168 0.5     0.      0.17   
62,9.86,0.78,5.33,11.35,8.56,0.06708,5.64,117,525,0.003845 0.       1.       0.015   
63,9.63,1.345,4.3,8.72,9.91,0.02293,4.74,119,522,9.10e-04 1.00e+00 3.00e+00 7.55e-01
64,12.24,1.952,19.21,19.79,5.68,0.11098,5.36,120,526.5,1.26e-03 5.00e-01 2.00e+00 4.65e-01
65,11.48,1.898,19.88,19.14,6.06,0.10343,4.4,129,529,0.00464 1.      1.      0.195  
66,4.24,0.507,14.26,18.03,3.84,0.04121,1.48,191,553.5,0.00163 0.5     1.      0.     
67,9.19,1.846,18.48,19.99,4.72,0.07955,4.68,129,528.5,1.225e-03 1.500e+00 7.000e+00 7.650e-01
68,15.89,0.983,15.54,4.56,6.95,0,0,470,0,0 0 0 0
69,10.69,1.931,20,19.73,6.42,0.09115,4.59,127,529.5,1.07e-03 2.50e+00 3.00e+00 4.80e-01
70,6.67,1.622,7.76,15.63,9.79,0.03271,5.69,124,523,0.00254 0.      0.      0.25   
71,11.2,1.979,19.85,20,6.73,0.0978,5.02,126,527,2.08e-03 1.00e+00 4.00e+00 6.55e-01
72,14.51,1.447,11.87,13.39,7.97,0.07736,5,121,524.5,0.00233 0.5     1.      0.12   
73,10.38,1.96,19.65,19.35,6.24,0.0795,4.5,129,529,4.85e-04 1.00e+00 1.00e+00 2.85e-01
74,16.81,0.407,6.54,8,2.18,0.00697,0.78,223,583.5,1.135e-03 5.000e-01 7.000e+00 0.000e+00
75,9.55,1.788,19.42,19.73,6.05,0.0757,4.35,128,532,2.895e-03 3.000e+00 6.000e+00 9.150e-01
76,5.6,1.542,17.15,7.18,9.18,0.02648,2.33,180,534.5,1.24e-03 1.50e+00 2.00e+00 5.00e-03
77,10.53,1.89,18.97,19.97,6.25,0.06993,3.66,133,534.5,0.00482 1.5     1.      0.245  
78,7.69,1.161,7.06,17.03,6.37,0.0326,4.26,131,529,2.395e-03 0.000e+00 3.000e+00 1.500e-01
79,10.27,1.867,20,20,5.95,0.08028,4.48,128,532,9.85e-04 3.00e+00 8.00e+00 9.90e-01
80,13.71,0.559,10.82,6.16,2.63,0.00432,0.62,214,598.5,1.915e-03 3.500e+00 4.000e+00 1.650e-01
81,4.04,0.508,14.27,18.04,3.83,0.03567,1.54,184,550.5,3.40e-03 5.00e-01 6.00e+00 1.05e-01
82,19.04,0.689,8.82,10.43,4.38,0.04548,2.89,152,533.5,1.75e-04 5.00e-01 4.00e+00 1.10e-01
83,10,1.916,19.61,19.97,5.72,0.0772,4.95,121,531.5,1.945e-03 1.500e+00 3.000e+00 4.700e-01
84,15.45,1.054,16.34,17.58,5.21,0.10584,3.07,136,540,2.8e-04 1.0e+00 2.0e+00 2.5e-01
85,18.02,0.466,11.28,9.62,3.53,0.08083,2.4,139,544.5,0.010605 0.5      3.       0.19    
86,10.09,1.969,19.6,19.69,6.45,0.07786,4.38,126,535,1.585e-03 0.000e+00 4.000e+00 4.000e-01
87,15.19,1.491,4.98,15.1,5.87,0.07867,5.33,123,521.5,1.3e-04 5.0e-01 1.0e+00 3.0e-02
88,17.41,0.898,14.84,5.39,6.01,0.0055,1.21,272,608,0. 0. 0. 0.
89,16.2,0.54,7.78,8.32,2.75,0.0308,1.5,195,552.5,6.405e-03 3.500e+00 1.300e+01 1.750e-01
90,4.92,1.252,17.62,14.27,8.15,0.04332,2.29,156,543.5,3.95e-04 1.50e+00 0.00e+00 1.20e-01
91,6.85,1.734,17.91,19.39,6.24,0.0595,3.14,140,536.5,0.003005 0.5      2.       0.01    
92,12.97,1.311,5.76,16.14,4.08,0.05845,4.54,128,522.5,0.00385 0.5     0.      0.065  
93,19.39,1.395,7.4,11.58,4.25,0.03778,2.7,176,525.5,2.555e-03 5.000e-01 4.000e+00 3.000e-02
94,8.14,0.81,13.18,12.58,9.04,0.06951,2.7,138,545,1.45e-04 1.00e+00 4.00e+00 1.35e-01
95,5.86,0.597,6.81,13.01,7.47,0.034,2.52,136,546.5,1.415e-03 1.500e+00 0.000e+00 1.250e-01
96,9.48,0.853,12.47,16.46,9.5,0.07523,2.88,136,542,0.00551 1.      2.      0.065  
97,9.48,1.667,10.33,4.93,8.78,0.00446,0.89,204,605.5,3.75e-04 2.55e+01 3.40e+01 1.70e-01
98,5.33,1.132,8.16,4.04,5.51,0,0,470,0,0 0 0 0
99,16.62,0.404,9.3,6.71,2.32,0.00736,0.53,275,600,2.125e-03 2.100e+01 5.000e+00 1.000e-01
100,19.63,0.733,14.38,12.12,4.95,0.125,2.61,138,541,0.00711 2.      2.      0.23   
101,7.19,1.883,7.44,5.29,9.19,0.0096,4.44,127,522.5,1.335e-03 5.000e-01 2.100e+01 1.190e+00
102,18.41,0.647,13.81,9.15,2.73,0.0618,1.88,166,543.5,0.00375 0.5     2.      0.04   
103,17.97,1.065,4.69,13.64,4.36,0.02056,3.91,145,524,0.00466 0.      1.      0.15   
104,14.9,1.105,16.66,18.37,5.36,0.10994,3.19,134,541,1.775e-03 0.000e+00 6.000e+00 4.400e-01
105,8.74,1.726,9.49,9.95,7.23,0.02808,5.13,121,526.5,2.45e-04 2.50e+00 5.00e+00 8.40e-01
106,19.98,1.226,16.01,12.88,8.38,0.11144,3.78,126,533,0.00397 2.      2.      0.165  
107,18.28,1.405,7.93,14.9,4.31,0.0561,7.06,120,524,8.500e-05 1.000e+00 0.000e+00 1.595e+00
108,13.39,1.575,6.31,10.94,7.08,0.02996,4.44,133,520.5,0.003435 2.5      3.       0.455   
109,16.46,1.129,17.69,17.71,5.69,0.10152,3.1,135,541,0.009285 4.       1.       0.185   
110,14.34,1.03,17.4,18.73,5.13,0.10771,2.72,137,545.5,0.00848 0.5     1.      0.105  
111,16.94,1.188,14.23,6.35,6.02,0.00636,1.19,194,611.5,1.15e-04 4.45e+01 3.00e+01 2.40e-01
112,6.27,0.437,7.71,15.35,7.61,0.04872,2.09,143,554.5,0.001425 0.5      1.       0.1     
113,5.49,1.23,16.65,17.4,7.45,0.04655,2.92,141,547,1.75e-03 4.00e+00 3.00e+00 4.90e-01
114,4.41,1.285,14.51,4.16,3.3,0.01702,4.96,143,542.5,5.105e-03 4.500e+00 2.700e+01 2.225e+00
115,14.06,1.475,5.53,5.65,7.44,0,0,470,0,0 0 0 0
116,19.46,0.944,6.11,7.48,8.2,0.00392,0.59,374,712,0. 0. 0. 0.
117,15.23,1.085,16.63,18.92,5.32,0.11755,2.72,140,546,0.00309 0.      2.      0.15   
118,7.39,1.324,12.17,16.68,7.78,0.05511,3.39,147,542,0.00275 1.      1.      0.04   
119,14.72,1.197,5.18,10.65,6.88,0.01786,2.6,163,536,4.63e-03 2.10e+01 9.00e+00 1.85e-01
120,7.97,1.638,15.13,7.73,9.7,0.05341,3.01,152,547,0.00443 3.      0.      0.28   
121,16.84,1.538,10.86,16.49,7.65,0.07253,3.97,148,526,2.005e-03 1.000e+00 6.000e+00 3.900e-01
122,11.78,0.444,13.53,14.14,9.36,0.13298,1.76,150,557,1.325e-03 1.000e+00 2.000e+00 5.500e-02
123,16.02,1.063,15.64,18.6,5.47,0.12132,2.64,155,540,1.915e-03 2.000e+00 3.000e+00 4.000e-02
124,12.67,1.967,8.99,8.93,2.02,0.03672,1.47,151,579.5,0.010895 4.5      9.       0.21    
125,8.41,1.775,16.99,5.95,6.57,0.06923,4.78,124,525.5,0.003795 2.5      0.       0.155   
126,4.49,0.671,12.69,4.39,3.67,0.02838,1.97,173,546,3.3e-04 1.0e+00 3.0e+00 2.0e-02
127,16.52,0.452,9.87,11.48,2.77,0.13042,2.64,138,543,0.00522 3.      2.      0.15   
128,6.09,1.693,15.81,16.43,4.55,0.04672,3.22,146,537,0.007775 3.       6.       0.425   
129,7.52,0.695,14,16.82,9.15,0.07408,2.22,148,551,1.95e-04 1.00e+00 0.00e+00 5.00e-02
130,18.1,1.828,10.03,12.32,2.47,0.05466,3.61,153,526.5,9.775e-03 1.500e+00 1.300e+01 5.000e-01
131,17.19,1.879,11.59,13.19,2.93,0.04628,3.44,157,528,2.1645e-02 2.0000e+00 2.5000e+01 6.0500e-01
132,15.66,1.011,4.03,14.81,6.77,0.02003,5.07,130,523,0. 0. 0. 0.
133,15.43,1.069,16.88,19.45,4.83,0.11582,3.18,130,541,3.635e-03 0.000e+00 4.000e+00 1.300e-01
134,5.15,0.421,18.19,15.94,5.27,0.04986,1.34,184,559,1.66e-03 0.00e+00 2.00e+00 3.50e-02
135,15.15,0.403,8.12,9.08,2.25,0.07408,2.21,147,547.5,7.05e-04 2.50e+00 1.00e+00 1.60e-01
136,4.59,1.374,11.01,10.16,4.15,0.0252,2.4,174,538,3.095e-03 4.000e+00 0.000e+00 1.650e-01
137,11.69,1.879,8.11,10.92,8.6,0.02807,4.26,135,527.5,5.83e-03 1.50e+00 1.30e+01 7.55e-01
138,11.17,1.596,16.19,11.82,9.62,0.05636,2.96,150,534.5,2.50e-04 5.00e-01 4.00e+00 1.45e-01
139,15.2,1.042,17.35,19.98,4.64,0.10786,2.65,143,542.5,0.005885 1.5      1.       0.09    
140,18.78,0.903,12.91,17.92,3.41,0.10166,2.68,142,542.5,0.004265 2.5      4.       0.19    
141,15.96,1.137,17.03,19.93,4.5,0.11181,2.7,139,542,4.4e-04 2.0e+00 3.0e+00 3.0e-02
142,4.85,1.468,8.48,7.84,8.91,0.01312,2.62,161,539,3.5e-05 9.0e+00 1.0e+00 4.2e-01
143,15.1,1.135,16.03,18.74,5.44,0.1057,2.76,139,542,9.00e-05 1.00e+00 1.00e+00 1.45e-01
144,12.32,1.75,10.56,15.7,5.04,0.04724,3.67,136,529,0.003755 1.       2.       0.03    
145,19.82,1.857,4.43,17.22,8.71,0.03162,5.92,134,515.5,4.70e-04 1.50e+00 0.00e+00 5.05e-01
146,17.73,0.882,10.46,5.01,4.89,0.0058,1.12,198,603.5,1.45e-04 5.00e-01 1.20e+01 9.50e-02
147,15.9,1.15,16.41,19.95,4.85,0.10296,2.68,140,542,0.005335 1.       0.       0.09    
148,6.61,0.831,13.41,6.99,6.1,0.03814,1.67,169,551.5,0.001565 0.5      1.       0.      
149,14.97,0.995,17.32,19.98,5.1,0.11382,2.13,146,548.5,0.00372 0.5     2.      0.03   
150,5.24,0.796,18.7,8.46,9.54,0.04476,1.49,173,553,2.55e-04 3.00e+00 3.00e+00 6.00e-02
151,16.07,1.043,17.02,19.95,5.13,0.1147,2.35,146,544.5,1.51e-03 1.50e+00 2.00e+00 1.25e-01
152,10.94,1.891,18.33,18.5,3.97,0.07205,2.99,140,535.5,5.4e-04 5.0e-01 2.0e+00 3.0e-02
153,15.01,1.066,16.15,19.21,4.78,0.08472,2.19,147,546.5, 0.02353  1.5     11.       0.315  
154,11.36,1.816,9.13,13.88,6.62,0.03316,4.24,124,530,0.003445 3.       0.       0.585   
155,15.41,1.055,16.93,20,5.11,0.10732,2.37,143,545,3.8e-04 0.0e+00 1.0e+00 3.5e-02
156,13.53,1.274,15.37,7.59,7.36,0.0429,2.52,149,540.5,2.005e-03 5.000e-01 3.000e+00 4.500e-02
157,16.01,1.073,16.57,19.9,4.84,0.106,2.37,142,544.5,3.05e-04 5.00e-01 2.00e+00 5.00e-02
158,12.48,0.939,15.91,14.57,2.83,0.0847,2.02,152,548,0.00307 0.      2.      0.035  
159,14.95,1.028,17.62,20,4.57,0.10887,2.2,142,548,9.9e-04 1.0e+00 2.0e+00 2.0e-02
160,13.88,0.747,8.67,10.85,8.29,0.05913,2.01,149,550.5,3.875e-03 2.500e+00 9.000e+00 1.150e-01
